Track ID,Track Name,Album Name,Artist Name(s),Release Date,Added By,Added At,Genres,Record Label,Duration (ms),Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,,PC1,PC2,PC3
3QV7NYkrmV0Q0IHdFJw9hO,She Thinks My Tractor's Sexy,Everywhere We Go,Kenny Chesney,02/26/1999,kelley3clan,2016-12-23T06:05:57Z,country,BNA Records Label,248066,66,0.689,0.886,10,-7.066,0,0.0382,0.0664,0,0.278,0.906,122.07,4,,-1.268835765,1.140372632,0.282496521
3rXCZRMiMZp0feGcYXpwYX,Cowboy Take Me Away,Fly,The Chicks,08/27/1999,kelley3clan,2016-12-23T06:06:03Z,country,Monument,287266,71,0.467,0.622,6,-7.255,1,0.031,0.365,0.00527,0.0982,0.455,164.418,4,,-0.231235489,-0.564033454,0.596763913
6Lmx6bz3PGYuNSjKMnYBOa,"Heads Carolina, Tails California",JoDee Messina,Jo Dee Messina,04/02/1996,kelley3clan,2016-12-23T06:06:06Z,country,Curb Records,209760,68,0.607,0.815,4,-6.619,1,0.039,0.0471,2.81E-05,0.111,0.57,136.949,4,,-1.779459316,-1.897570055,0.218682022
1N9GGOUf8TQqsaPDByZzEF,I'm in a Hurry (And Don't Know Why),American Pride,Alabama,04/03/1992,kelley3clan,2016-12-23T06:06:11Z,country,RCA/Legacy,168640,59,0.757,0.69,9,-8.645,1,0.0286,0.198,0,0.078,0.867,128.654,4,,-0.682727008,-0.532642585,1.549573103
6FevJcaJvt5EvsHnuJHBnb,Fast as You,This Time,Dwight Yoakam,03/12/1993,kelley3clan,2016-12-23T06:06:16Z,country,Reprise,285200,63,0.628,0.801,4,-7.926,1,0.0282,0.000479,0.0897,0.396,0.843,125.954,4,,-0.545605824,-2.323182987,0.787239536
4VKbn8tO5A6ApjyAjHEaTt,Wink - Remastered Version,The Very Best Of Neal McCoy,Neal McCoy,05/30/2008,kelley3clan,2016-12-23T06:06:27Z,country,Rhino/Warner Records,162640,35,0.705,0.888,4,-5.232,1,0.0301,0.129,1.53E-05,0.206,0.934,117.595,4,,-1.219693727,-1.161059099,0.489828683
1Hi50pFT5rbr0n8FiEwXmK,Just Call Me Lonesome,"Del Rio, Tx 1959",Radney Foster,09/29/1992,kelley3clan,2016-12-23T06:06:37Z,country,Arista Nashville,191453,41,0.695,0.743,4,-9.007,1,0.0325,0.0772,2.55E-06,0.0891,0.714,127.458,4,,-1.487319627,-1.259919041,0.730571886
4EJvW4NHAk7TrIeX44jjXF,She's In Love With The Boy,Love Songs,Trisha Yearwood,01/01/2008,kelley3clan,2016-12-23T06:06:46Z,country,MCA Nashville,245786,54,0.753,0.822,3,-4.914,1,0.031,0.518,1.72E-06,0.125,0.765,125,4,,-1.626177547,-1.356770477,0.176359251
3QvOV1QYPPre7gjppKyeON,Pickup Man,Greatest Hits,Joe Diffie,06/09/1998,kelley3clan,2016-12-23T06:06:52Z,country,Epic/Nashville,216693,60,0.709,0.757,7,-7.006,1,0.0408,0.434,0,0.336,0.852,140.664,4,,-1.061023629,-1.763181184,0.727770078
7nhTpkQfsanJzuz9RNsoo4,Thinkin' Problem,Super Hits,David Ball,NaT,kelley3clan,2016-12-23T06:06:57Z,country,Warner Records/Nashville,180906,49,0.749,0.748,0,-5.783,1,0.0311,0.147,1.51E-05,0.265,0.745,110.437,4,,-3.532593594,-1.160649224,-0.538865679
