Track Name,Album Name,Artist Name(s),Genres,Duration (ms),Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,Tempo,,PC1,PC2,PC3
Airplane pt.2,Love Yourself 轉 'Tear',BTS,pop,218614,0.77,0.817,-4.092,0.0339,0.0265,0.000103,0.866,139.979,,-0.083600804,-1.994953605,1.065074832
Hate You,GOLDEN,Jung Kook,pop,154236,0.419,0.274,-9.321,0.0314,0.862,0,0.25,79.595,,-4.621664681,1.24123359,-1.014426289
My Time,MAP OF THE SOUL : 7,BTS,pop,234457,0.674,0.641,-5.139,0.0339,0.149,0,0.664,99.91,,-1.20734747,-0.876084266,1.211582445
Filter,MAP OF THE SOUL : 7,BTS,pop,180220,0.779,0.762,-5.188,0.0631,0.0224,0,0.859,110.043,,-0.535368662,-2.27261554,0.691433427
Yes or No,GOLDEN,Jung Kook,pop,147557,0.671,0.839,-2.645,0.0866,0.179,0,0.882,83.845,,-0.309905087,-2.441785389,0.526178011
Dance in the Living Room,Dance in the Living Room,"NVTHVN,Forrest.,Park Bird,Ok2222",lofi,244539,0.758,0.684,-5.037,0.085,0.0953,2.11E-06,0.73,109.953,,-0.713809836,-1.372440732,0.758477626
Houdini,Radical Optimism,Dua Lipa,pop,185917,0.744,0.789,-4.876,0.059,0.0036,0.00144,0.866,116.985,,-0.283386679,-2.144019392,0.764913284
Kill This Love,KILL THIS LOVE,BLACKPINK,pop,191050,0.763,0.835,-5.234,0.191,0.323,0.00221,0.645,131.875,,-0.290391562,-1.621971884,-0.984393986
Immortals,American Beauty/American Psycho,Fall Out Boy,metal,189386,0.616,0.868,-3.606,0.0699,0.00131,1.54E-06,0.475,108.016,,0.492991089,-0.88967288,0.661656146
Nine in the Afternoon - Single Mix,Pretty. Odd.,Panic! At The Disco,metal,191560,0.405,0.689,-5.75,0.0365,0.0843,0,0.397,155.189,,-0.06305023,0.50241711,0.036383323
Dynamite,BE,BTS,pop,199053,0.746,0.765,-4.41,0.0993,0.0112,0,0.737,114.044,,-0.072686491,-1.808633894,0.44605834
Your Soul,Nostalgia Pack,"Forrest Frank,Forrest.",pop,178280,0.852,0.854,-3.941,0.367,0.0287,0,0.842,139.946,,0.946857392,-2.815363216,-1.432776138
Lately,Nostalgia Pack,"Forrest Frank,Forrest.",pop,207017,0.714,0.633,-4.069,0.181,0.227,1.73E-05,0.869,160.02,,-0.309358985,-1.796132904,-0.94520427
Ain't No Mountain High Enough,United,"Marvin Gaye,Tammi Terrell",pop,151666,0.663,0.6,-10.87,0.032,0.43,0,0.797,129.987,,-2.808980802,-1.190129317,-0.504459045
Why Not Me,Nostalgia Pack,"Forrest Frank,Forrest.",pop,206194,0.905,0.732,-7.384,0.298,0.463,0,0.689,145.961,,-1.078926012,-1.904817002,-1.978935507
Haegeum,D-DAY,Agust D,pop,168926,0.697,0.837,-2.651,0.304,0.313,0,0.831,85.097,,-0.022328827,-2.324150316,-0.839544659
Daechwita,D-2,Agust D,pop,225668,0.65,0.827,-4.014,0.0599,0.0229,0,0.223,144.995,,0.664030334,-0.023364006,0.295102553
Agust D,Agust D,Agust D,pop,234082,0.499,0.984,-2.148,0.309,0.0245,0,0.592,79.987,,1.478603226,-0.766867116,0.134704874
give it to me,Agust D,Agust D,pop,149524,0.657,0.751,-3.889,0.185,0.000833,1.05E-05,0.43,94.987,,0.367548745,-1.285360449,-0.522206166
SDL,D-DAY,Agust D,pop,171442,0.575,0.854,-2.62,0.214,0.2,0,0.609,164.029,,1.061324079,-1.216202558,-1.377974929
People,D-2,Agust D,pop,197000,0.76,0.682,-6.441,0.0371,0.0616,0,0.372,120.008,,-0.811192606,-0.718801998,0.454227036
People Pt.2 (feat. IU),D-DAY,"Agust D,IU",pop,213995,0.729,0.574,-4.779,0.0589,0.391,0,0.438,88.94,,-1.831851368,-0.63675179,0.340102567
Moonlight,D-2,Agust D,pop,163015,0.689,0.729,-5.801,0.225,0.273,0,0.773,97.057,,-0.794221823,-1.861906215,-0.89799952
Burn It (feat. MAX),D-2,"Agust D,MAX",pop,192106,0.658,0.776,-7.088,0.0493,0.012,2.10E-06,0.336,114.044,,-0.381086534,-0.347078139,0.437331251
HUH?! (feat. j-hope),D-DAY,"Agust D,j-hope",pop,183290,0.763,0.806,-2.785,0.302,0.207,0,0.522,139.911,,0.729201943,-1.653112544,-1.549467149
Life Goes On,D-DAY,Agust D,pop,197638,0.439,0.733,-6.471,0.0773,0.0345,0,0.615,162.125,,0.166948732,-0.120212409,-0.225133161
"Snooze (feat. Ryuichi Sakamoto, WOOSUNG of The Rose)",D-DAY,"Agust D,Ryuichi Sakamoto,WOOSUNG",pop,264760,0.761,0.777,-4.68,0.0941,0.21,0,0.377,89.959,,-0.591802249,-0.496428633,0.760275547
Dear my friend (feat. Kim Jong Wan of NELL),D-2,"Agust D,Kim Jong Wan of NELL",pop,292078,0.561,0.735,-6.344,0.0638,0.0181,8.54E-06,0.27,148.025,,0.140955866,0.868981177,0.560494297
AMYGDALA,D-DAY,Agust D,pop,251533,0.311,0.769,-4.637,0.0553,0.226,0,0.16,78.265,,-0.319012464,1.625194805,1.062325742
D-Day,D-DAY,Agust D,pop,211373,0.59,0.878,-3.199,0.266,0.294,0,0.699,139.934,,0.646866236,-1.174062825,-1.071873773
Polar Night,D-DAY,Agust D,pop,165319,0.68,0.877,-4.224,0.223,0.137,0,0.906,128.045,,0.41949827,-2.331378613,-0.783792063
Intro: Never Mind,The Most Beautiful Moment in Life Pt.2,BTS,pop,136428,0.339,0.949,-4.942,0.904,0.00765,0,0.397,79.956,,2.150306312,-0.489148521,-3.020799089
The Last,Agust D,Agust D,pop,245757,0.755,0.837,-2.704,0.203,0.00167,0.00609,0.444,119.98,,0.986599892,-1.046751602,-0.025506404
End of Beginning,DECIDE,Djo,pop,159245,0.689,0.454,-7.643,0.0584,0.0351,0.00259,0.912,159.982,,-1.469573629,-1.759938431,-0.473462228
ラブ・ドラマティック (Funky Flag Version),Funky Flag,"Masayuki Suzuki,伊原六花",pop,262946,0.714,0.796,-4.949,0.0327,0.257,0,0.802,129.031,,-0.848931042,-1.182698504,1.139042495
DADDY ! DADDY ! DO !,ALL TIME ROCK 'N' ROLL,"Masayuki Suzuki,鈴木愛理",pop,254640,0.684,0.815,-3.826,0.0496,0.322,0,0.819,138.104,,-0.565354843,-1.247915543,0.745940309
センチメンタルクライシス,Assortrip,halca,pop,243960,0.409,0.896,-2.535,0.105,0.0107,0.0018,0.577,167.127,,1.55756434,0.001901824,0.186502924
ハートはお手上げ,ハートはお手上げ,鈴木愛理,pop,227027,0.647,0.939,-2.658,0.0953,0.224,8.37E-05,0.689,156.982,,0.686400725,-1.209501619,0.045200126
風に吹かれて,ハルカカナタヘ,福原 遥,pop,272826,0.388,0.611,-3.724,0.0334,0.291,0,0.401,179.933,,-0.234807552,1.149064073,0.147178217
ないものねだり,僕がCDを出したら,KANA-BOON,pop,262693,0.471,0.77,-3.783,0.102,0.0002,0.00308,0.529,174.85,,1.049628045,0.190490695,0.05259424
