Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added At,Genres,Danceability,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Play Count
Sexy And I Know It,Sorry For Party Rocking (Deluxe Version),LMFAO,2011-01-01,199480,64,2025-03-20T21:10:44Z,,0.708,7.0,-4.225,0.316,0.1,0.0,0.191,0.795,130.043,4.0,3.0
Now,Chemistry,Trouble Maker,2013-10-28,218697,49,2025-03-20T21:10:44Z,k-pop,0.694,2.0,-3.31,0.0393,0.39,4.81e-06,0.27,0.6,117.94,4.0,17.0
FREEDOM,BLUE ENCOUNT HALL TOUR 2019 apartment of SICK(S) SET LIST,BLUE ENCOUNT,2019-07-17,239893,42,2025-03-20T21:10:44Z,"anime,j-rock,j-pop",0.484,7.0,-4.013,0.069,0.000262,0.0,0.285,0.241,102.034,4.0,15.0
Prayer X,Sympa,King Gnu,2019-01-16,195226,56,2025-03-20T21:10:44Z,"j-pop,anime,j-rock",0.528,11.0,-6.006,0.28,0.419,0.0,0.181,0.542,174.112,4.0,13.0
Kaikai Kitan,Kaikai Kitan / Ao No Waltz,Eve,2020-12-23,221426,72,2025-03-20T21:10:44Z,"anime,j-pop,j-rock,vocaloid,japanese indie",0.584,5.0,-3.515,0.09,0.0119,0.0,0.119,0.606,92.502,4.0,14.0
found & lost,s p a c e [ s ],Survive Said The Prophet,2018-09-26,188960,51,2025-03-20T21:10:44Z,"anime,j-rock",0.547,1.0,-3.71,0.0783,0.000133,0.000303,0.343,0.382,104.086,4.0,17.0
"Centimeter (From Rent a Girlfriend: Kanojo, Okarishimasu)","Centimeter (From Rent a Girlfriend: Kanojo, Okarishimasu)",Miura Jam,2020-08-26,225343,32,2025-03-20T21:10:44Z,anime,0.622,2.0,-6.196,0.0399,0.00275,0.00036,0.301,0.796,139.954,4.0,13.0
炎,炎,LiSA,2020-10-12,275000,60,2025-03-20T21:10:44Z,"anime,j-pop,j-rock",0.477,2.0,-4.554,0.0325,0.105,0.0,0.277,0.308,152.04,4.0,10.0
GIRI GIRI,GIRI GIRI,"Masayuki Suzuki,すぅ",2022-04-15,258765,49,2025-03-20T21:10:44Z,"anime,j-pop,kayokyoku,city pop",0.78,11.0,-4.053,0.0351,0.223,0.0,0.0484,0.961,127.993,4.0,24.0
光るなら,Milk,Goose house,2015-02-25,252133,67,2025-03-20T21:10:44Z,"anime,j-pop",0.491,6.0,-2.722,0.0652,0.391,0.0,0.342,0.571,160.092,4.0,16.0
Like,2 Cool 4 Skool,BTS,2013-06-12,231893,66,2025-03-20T21:10:44Z,k-pop,0.737,0.0,-4.165,0.0705,0.303,0.0,0.26,0.783,100.939,4.0,8.0
Run BTS,Proof,BTS,2022-06-10,204939,75,2025-03-20T21:10:44Z,k-pop,0.724,8.0,-3.747,0.168,0.0201,0.0,0.0358,0.696,77.004,4.0,1.0
Standing Next to You,GOLDEN,Jung Kook,2023-11-03,206019,83,2025-03-20T21:10:44Z,k-pop,0.711,2.0,-4.389,0.0955,0.0447,0.0,0.339,0.816,106.017,4.0,21.0
Love Maze,Love Yourself 轉 'Tear',BTS,2018-05-18,221529,66,2025-03-20T21:10:44Z,k-pop,0.637,9.0,-4.652,0.0618,0.0483,0.0,0.0728,0.759,149.93,4.0,6.0
Just One Day,Skool Luv Affair,BTS,2014-02-12,239469,68,2025-03-20T21:10:44Z,k-pop,0.685,6.0,-4.705,0.266,0.179,0.0,0.377,0.301,95.092,4.0,4.0
Life Goes On,BE,BTS,2020-11-20,207481,75,2025-03-20T21:10:44Z,k-pop,0.566,1.0,-5.733,0.0424,0.00691,0.0,0.37,0.45,81.068,4.0,2.0
134340,Love Yourself 轉 'Tear',BTS,2018-05-18,230063,62,2025-03-20T21:10:44Z,k-pop,0.665,11.0,-6.466,0.0547,0.155,9.28e-05,0.173,0.651,106.023,4.0,1.0
Trivia 轉 : Seesaw,Love Yourself 結 'Answer',BTS,2018-08-24,246334,65,2025-03-20T21:10:44Z,k-pop,0.707,5.0,-4.483,0.035,0.179,0.0,0.102,0.674,106.985,4.0,3.0
Airplane pt.2,Love Yourself 轉 'Tear',BTS,2018-05-18,218614,68,2025-03-20T21:10:44Z,k-pop,0.77,0.0,-4.092,0.0339,0.0265,0.000103,0.084,0.866,139.979,4.0,4.0
Hate You,GOLDEN,Jung Kook,2023-11-03,154236,71,2025-03-20T21:10:44Z,k-pop,0.419,2.0,-9.321,0.0314,0.862,0.0,0.092,0.25,79.595,4.0,1.0
My Time,MAP OF THE SOUL : 7,BTS,2020-02-21,234457,64,2025-03-20T21:10:44Z,k-pop,0.674,0.0,-5.139,0.0339,0.149,0.0,0.0925,0.664,99.91,4.0,1.0
Filter,MAP OF THE SOUL : 7,BTS,2020-02-21,180220,68,2025-03-20T21:10:44Z,k-pop,0.779,10.0,-5.188,0.0631,0.0224,0.0,0.121,0.859,110.043,4.0,4.0
I Dated A Monster,Healing Out of Spite,CATTY,2024-10-18,239154,30,2025-03-20T21:10:44Z,,0.564,2.0,-3.817,0.0594,0.0189,0.0,0.0769,0.591,142.01,4.0,12.0
Weird World,Girl With No Face,Allie X,2024-02-23,238563,42,2025-03-20T21:10:44Z,,0.633,8.0,-4.68,0.0362,0.0154,7.43e-05,0.0749,0.118,151.99,4.0,4.0
MAGIC,RECOVER (Deluxe),Brye,2024-02-01,213365,26,2025-03-20T21:10:44Z,,0.749,4.0,-4.263,0.0752,0.097,0.0699,0.0407,0.961,156.032,4.0,8.0
Hype Song,Hype Song,Olivia Knox,2023-12-01,207500,24,2025-03-20T21:10:44Z,,0.566,11.0,-4.791,0.0866,0.12,0.0,0.297,0.378,158.074,4.0,3.0
Lose Her,Lose Her,Sadie Fine,2024-01-12,170515,27,2025-03-20T21:10:44Z,,0.696,2.0,-5.48,0.138,0.24,0.0,0.439,0.814,134.973,4.0,4.0
INTIMACY ISSUES,INTIMACY ISSUES,Lilyisthatyou,2024-02-13,122094,50,2025-03-20T21:10:44Z,,0.693,6.0,-4.856,0.0501,0.0901,0.0,0.163,0.477,124.998,4.0,9.0
i only smoke to feel bad,SPILT MILK,KiNG MALA,2023-11-10,180500,42,2025-03-20T21:10:44Z,,0.546,0.0,-5.538,0.178,0.294,3.54e-05,0.639,0.572,163.121,4.0,11.0
Yes or No,GOLDEN,Jung Kook,2023-11-03,147557,75,2025-03-20T21:10:44Z,k-pop,0.671,1.0,-2.645,0.0866,0.179,0.0,0.0748,0.882,83.845,4.0,11.0
HATE YOUR GUTS,HATE YOUR GUTS,INJI,2024-03-15,156329,40,2025-03-20T21:10:44Z,,0.776,9.0,-5.548,0.0383,0.000509,0.000471,0.0817,0.766,127.982,4.0,15.0
insane,mess & a half,KINGS,2024-02-02,119543,23,2025-03-20T21:10:44Z,,0.604,10.0,-6.223,0.0363,0.359,0.0,0.174,0.455,94.005,4.0,5.0
AMERICAN HORROR SHOW,AMERICAN HORROR SHOW,Snow Wife,2023-06-23,149391,63,2025-03-20T21:10:44Z,,0.63,2.0,-4.89,0.0892,0.0393,0.0,0.7,0.295,162.152,4.0,3.0
Late Night Talking,Harry's House,Harry Styles,2022-05-20,177954,77,2025-03-20T21:10:44Z,,0.714,10.0,-4.595,0.0468,0.298,0.0,0.106,0.901,114.996,4.0,13.0
