Track Name,Album Name,Artist Name(s),Release Date,Added At,Genres,Duration (ms),Popularity,Danceability,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Play Count
Faded,I've Seen You Somewhere Before,Miro Mas,2022-05-13,2025-03-21T21:22:13Z,lo-fi,187320,41,0.715,8.0,-15.23,0.164,0.92,0.926,0.13,0.377,146.048,4.0,5.0
Redbone,Covers Collection,LAV8,2021-03-12,2025-03-21T21:22:13Z,"lo-fi,lo-fi beats",129000,53,0.787,5.0,-11.767,0.074,0.394,0.89,0.109,0.566,77.5,4.0,26.0
Don't Go Breaking My Heart,Feelin' Cute,<3BEAT,2022-05-13,2025-03-21T21:22:13Z,lo-fi,255272,40,0.57,4.0,-14.23,0.0793,0.285,0.944,0.373,0.242,81.563,4.0,7.0
Pillow Talk,About Last Night,Yedai,2022-09-16,2025-03-21T21:22:13Z,"lo-fi,lo-fi beats",137142,20,0.439,11.0,-19.474,0.0348,0.971,0.833,0.101,0.108,140.015,5.0,5.0
Ms. Jackson,Feelin' Cute,<3BEAT,2022-05-13,2025-03-21T21:22:13Z,lo-fi,240374,41,0.704,9.0,-14.571,0.151,0.289,0.887,0.17,0.452,79.961,4.0,6.0
Numb,I've Seen You Somewhere Before,Miro Mas,2022-05-13,2025-03-21T21:22:13Z,lo-fi,175523,40,0.757,11.0,-14.075,0.0808,0.901,0.904,0.0906,0.596,166.032,4.0,6.0
If I Ain't Got You,002 (other people's songs),lokash,2022-07-01,2025-03-21T21:22:13Z,lo-fi,197589,40,0.399,6.0,-19.024,0.061,0.906,0.697,0.134,0.235,119.997,3.0,9.0
aurora,aurora,owlh,2020-07-17,2025-03-21T21:22:14Z,"lo-fi,lo-fi beats",157562,29,0.679,6.0,-9.931,0.0318,0.525,0.877,0.11,0.321,185.961,4.0,2.0
Running Up That Hill (A Deal With God),Portals pt 2,Miro Mas,2023-01-13,2025-03-21T21:22:14Z,lo-fi,267834,48,0.671,10.0,-14.027,0.0453,0.788,0.936,0.0923,0.264,131.914,4.0,18.0
vix,timbert,timbert,2020-06-05,2025-03-21T21:22:14Z,"lo-fi,lo-fi beats",158000,27,0.705,2.0,-15.375,0.108,0.795,0.801,0.0706,0.102,77.997,4.0,2.0
As It Was,As It Was,Slowzy,2022-06-17,2025-03-21T21:22:14Z,lo-fi,102400,25,0.63,9.0,-9.872,0.0475,0.953,0.961,0.11,0.431,74.967,4.0,11.0
Pied Piper,Love Yourself 承 'Her',BTS,2017-09-18,2025-03-21T21:22:14Z,k-pop,245620,71,0.583,2.0,-4.942,0.0326,0.2,0.0,0.268,0.778,94.051,4.0,24.0
Whalien 52,The Most Beautiful Moment in Life Pt.2,BTS,2015-11-30,2025-03-21T21:22:14Z,k-pop,243222,59,0.585,10.0,-2.707,0.241,0.0992,2.54e-06,0.345,0.735,90.03,4.0,2.0
UGH!,MAP OF THE SOUL : 7,BTS,2020-02-21,2025-03-21T21:22:14Z,k-pop,225012,63,0.72,10.0,-5.086,0.128,0.0394,0.0,0.0509,0.333,165.996,4.0,1.0
Filter,MAP OF THE SOUL : 7,BTS,2020-02-21,2025-03-21T21:22:14Z,k-pop,180220,68,0.779,10.0,-5.188,0.0631,0.0224,0.0,0.121,0.859,110.043,4.0,4.0
Don't Leave Me,FACE YOURSELF,BTS,2018-04-04,2025-03-21T21:22:14Z,k-pop,227413,58,0.62,8.0,-4.622,0.0724,0.116,0.0,0.312,0.386,147.012,4.0,1.0
We are Bulletproof : the Eternal,MAP OF THE SOUL : 7,BTS,2020-02-21,2025-03-21T21:22:14Z,k-pop,261542,65,0.522,9.0,-5.225,0.0317,0.224,0.0,0.108,0.176,84.044,4.0,1.0
Dope,The Most Beautiful Moment in Life Pt.1,BTS,2015-04-29,2025-03-21T21:22:14Z,k-pop,240020,67,0.595,10.0,-3.109,0.245,0.0486,0.0,0.32,0.62,154.071,4.0,9.0
Stigma,Wings,BTS,2016-10-10,2025-03-21T21:22:14Z,k-pop,216063,61,0.566,0.0,-5.556,0.089,0.148,0.0,0.139,0.335,136.442,4.0,3.0
Paradise,Love Yourself 轉 'Tear',BTS,2018-05-18,2025-03-21T21:22:14Z,k-pop,211223,62,0.551,5.0,-5.523,0.352,0.214,0.0,0.0571,0.928,139.662,4.0,1.0
Hold Me Tight,The Most Beautiful Moment in Life Pt.1,BTS,2015-04-29,2025-03-21T21:22:14Z,k-pop,274991,61,0.622,6.0,-5.111,0.286,0.0511,0.0,0.171,0.394,139.994,4.0,2.0
Run,The Most Beautiful Moment in Life Pt.2,BTS,2015-11-30,2025-03-21T21:22:14Z,k-pop,236748,68,0.554,11.0,-3.02,0.0513,0.00146,0.0,0.0998,0.55,132.896,4.0,15.0
Silver Spoon,The Most Beautiful Moment in Life Pt.2,BTS,2015-11-30,2025-03-21T21:22:14Z,k-pop,233160,68,0.65,9.0,-2.886,0.073,0.00104,0.0,0.0483,0.536,166.895,4.0,1.0
Daydream (백일몽),Hope World,j-hope,2018-03-02,2025-03-21T21:22:14Z,"k-pop,k-rap",228759,66,0.749,8.0,-6.518,0.0874,0.00512,0.0,0.175,0.859,116.037,4.0,1.0
Trivia 轉 : Seesaw,Love Yourself 結 'Answer',BTS,2018-08-24,2025-03-21T21:22:14Z,k-pop,246334,65,0.707,5.0,-4.483,0.035,0.179,0.0,0.102,0.674,106.985,4.0,4.0
Blood Sweat & Tears,Wings,BTS,2016-10-10,2025-03-21T21:22:14Z,k-pop,217051,72,0.584,0.0,-3.571,0.104,0.0244,0.0,0.357,0.605,92.9,4.0,15.0
BTS Cypher Pt.3: Killer,Dark & Wild,"BTS,Supreme Boi",2014-08-20,2025-03-21T21:22:14Z,"k-pop,k-rap",267782,60,0.793,4.0,-3.017,0.321,0.0217,0.0,0.644,0.665,140.031,4.0,1.0
Intro: Singularity,Love Yourself 轉 'Tear',BTS,2018-05-18,2025-03-21T21:22:14Z,k-pop,196998,60,0.775,1.0,-9.126,0.091,0.56,0.00278,0.112,0.198,103.991,3.0,2.0
Euphoria,Love Yourself 結 'Answer',BTS,2018-08-24,2025-03-21T21:22:14Z,k-pop,228615,72,0.637,2.0,-4.518,0.0338,0.394,0.0,0.0921,0.57,104.996,4.0,4.0
Butterfly,The Most Beautiful Moment in Life Pt.2,BTS,2015-11-30,2025-03-21T21:22:14Z,k-pop,238861,68,0.461,6.0,-4.498,0.0565,0.0149,0.0,0.12,0.291,149.985,4.0,1.0
Attack on Bangtan,"O!RUL8,2?",BTS,2013-09-11,2025-03-21T21:22:14Z,k-pop,246525,60,0.72,11.0,-2.555,0.268,0.2,0.0,0.165,0.667,118.025,4.0,1.0
Outro: House of Cards,The Most Beautiful Moment in Life Pt.2,BTS,2015-11-30,2025-03-21T21:22:14Z,k-pop,177413,57,0.37,2.0,-4.717,0.0402,0.4,0.0,0.129,0.265,104.162,4.0,1.0
Stay,BE,BTS,2020-11-20,2025-03-21T21:22:14Z,k-pop,204800,60,0.582,6.0,-5.048,0.0465,0.114,0.0,0.13,0.341,125.904,4.0,5.0
DNA,Love Yourself 承 'Her',BTS,2017-09-18,2025-03-21T21:22:14Z,k-pop,223122,70,0.599,1.0,-4.018,0.0543,0.0217,0.0,0.0678,0.696,129.817,4.0,10.0
Dis-ease,BE,BTS,2020-11-20,2025-03-21T21:22:14Z,k-pop,239722,64,0.731,8.0,-5.352,0.132,0.0132,0.0,0.0782,0.484,101.085,4.0,1.0
Dionysus,MAP OF THE SOUL : PERSONA,BTS,2019-04-12,2025-03-21T21:22:14Z,k-pop,249215,64,0.502,7.0,-2.769,0.107,0.04,0.0,0.319,0.588,176.084,4.0,1.0
Base Line,Hope World,j-hope,2018-03-02,2025-03-21T21:22:14Z,"k-pop,k-rap",89769,61,0.909,9.0,-5.32,0.203,0.0376,0.0111,0.401,0.228,94.982,4.0,1.0
Interlude : Shadow,MAP OF THE SOUL : 7,BTS,2020-02-21,2025-03-21T21:22:14Z,k-pop,259821,59,0.384,9.0,-6.439,0.434,0.115,0.0,0.181,0.146,149.854,4.0,1.0
Epiphany,Love Yourself 結 'Answer',BTS,2018-08-24,2025-03-21T21:22:14Z,k-pop,240361,67,0.508,2.0,-6.366,0.0276,0.288,0.0,0.131,0.329,135.866,4.0,1.0
Black Swan,MAP OF THE SOUL : 7,BTS,2020-02-21,2025-03-21T21:22:14Z,k-pop,198260,70,0.719,2.0,-5.167,0.0849,0.137,0.0,0.129,0.489,147.024,4.0,1.0
Go Go,Love Yourself 承 'Her',BTS,2017-09-18,2025-03-21T21:22:14Z,k-pop,235779,66,0.856,10.0,-5.308,0.084,0.171,0.0,0.0857,0.759,136.081,4.0,1.0
Anpanman,Love Yourself 轉 'Tear',BTS,2018-05-18,2025-03-21T21:22:14Z,k-pop,232966,66,0.813,1.0,-2.92,0.0922,0.024,0.0,0.287,0.757,98.989,4.0,1.0
Airplane pt.2,Love Yourself 轉 'Tear',BTS,2018-05-18,2025-03-21T21:22:14Z,k-pop,218614,69,0.77,0.0,-4.092,0.0339,0.0265,0.000103,0.084,0.866,139.979,4.0,1.0
Am I Wrong,Wings,BTS,2016-10-10,2025-03-21T21:22:14Z,k-pop,213082,57,0.76,6.0,-4.992,0.0494,0.00125,1.07e-05,0.0868,0.679,107.988,4.0,1.0
Just One Day,Skool Luv Affair,BTS,2014-02-12,2025-03-21T21:22:14Z,k-pop,239469,68,0.685,6.0,-4.705,0.266,0.179,0.0,0.377,0.301,95.092,4.0,3.0
Into My Body,Sagittarius,UPSAHL,2022-12-09,2025-03-21T21:22:14Z,,144280,35,0.746,1.0,-6.253,0.0841,0.11,0.0,0.151,0.809,122.069,4.0,5.0
