Track Name,Album Name,Artist Name(s),Duration (ms),pop,Genres,dance,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Song Age
[oops],[oops],potsu,142182,57,lo-fi,0.851,0.264,0,-13.558,1,0.0788,0.53,0.217,0.138,0.635,68.988,4,7.879534565366187
With U,With U,"SwuM,Idealism",218666,48,lo-fi,0.469,0.309,1,-11.858,0,0.0341,0.863,0.809,0.0923,0.185,90.062,4,6.113620807665982
lock,get some rest,eli filosov [ p h i l o ],114535,50,lo-fi,0.71,0.347,6,-14.314,0,0.034,0.929,0.839,0.119,0.291,121.971,4,0.098562628
Silience,Silience,Toonorth,196923,38,lo-fi,0.636,0.252,6,-10.455,1,0.0563,0.0295,0.779,0.119,0.672,77.938,4,6.543463381245722
when the leaves come falling down,her,j'san,121904,40,lo-fi,0.656,0.294,9,-15.809,0,0.0481,0.902,0.472,0.123,0.27,125.992,4,7.011635865845311
Faces,Faces,Knowmadic,133165,38,lo-fi,0.615,0.424,11,-12.324,0,0.115,0.968,0.807,0.106,0.177,159.031,4,6.236824093086927
Proud of You,"Growing Up, Vol. 2","A L E X,Alicks",182869,43,lo-fi,0.82,0.281,8,-15.194,0,0.0802,0.869,0.961,0.0925,0.62,104.988,4,6.792607802874743
Love Is Real,Sincere,Moods,202213,47,lo-fi,0.761,0.643,9,-8.078,1,0.142,0.0533,0.102,0.0887,0.61,93.99,4,10.146475017111568
sand castles,corals 2,Fujitsu,147692,37,lo-fi,0.784,0.312,4,-14.648,0,0.0513,0.577,0.851,0.128,0.63,129.94,4,6.532511978097194
5:32pm,Vibes 2,The Deli,136914,59,lo-fi,0.686,0.181,1,-14.133,1,0.049,0.652,0.934,0.0772,0.647,86.393,4,8.459958932238193
Is It Too Much to Ask For,Is It Too Much to Ask For - EP,"Jordan Maxwell,Shiloh",100393,46,lo-fi,0.881,0.472,0,-8.228,0,0.0491,0.0447,0.00861,0.125,0.577,105.515,4,7.8959616700889805
Her,Her,eery,123219,49,lo-fi,0.665,0.394,11,-11.567,0,0.103,0.813,0.0414,0.185,0.499,82.067,4,9.253935660506503
sorry,late nights,chief.,77922,40,lo-fi,0.548,0.302,10,-12.869,1,0.12,0.752,0.893,0.314,0.546,127.159,4,7.318275154004107
"sincerely, yours",osho,Nohidea,139684,48,lo-fi,0.605,0.396,5,-11.301,0,0.0509,0.8,0.872,0.141,0.622,80.957,4,8.158795345653662
Affection,Life,Jinsang,117495,55,lo-fi,0.698,0.193,1,-15.01,1,0.0902,0.915,0.937,0.0882,0.608,84.028,4,8.276522929500342
Flunked This Semester,Waterbed,HM Surf,99310,34,lo-fi,0.559,0.246,8,-11.289,1,0.0367,0.486,0.905,0.111,0.271,174.063,4,7.000684462696783
Tell Me Why I'm Waiting,Passion & Confusion,"timmies,Shiloh Dynasty",123891,61,lo-fi,0.671,0.275,6,-11.185,0,0.056,0.796,0.000339,0.0657,0.159,124.007,4,7.531827515400411
Feblu,"Expedition, Vol. 7 (Moonloops)",Flughand,93635,51,lo-fi,0.769,0.277,10,-8.375,1,0.0949,0.897,0.862,0.118,0.641,80.951,4,9.100616016427105
feel,ep seeds,eevee,104564,39,lo-fi,0.472,0.218,11,-20.798,1,0.0429,0.131,0.0554,0.267,0.364,132.321,4,8.049281314168377
Sakura Trees,Buena Vista,Saib,99996,52,lo-fi,0.643,0.56,0,-7.295,1,0.0354,0.204,0.197,0.0908,0.521,79.986,4,8.065708419
sekao,running around dreaming,Delayde,132000,39,lo-fi,0.616,0.375,5,-16.921,1,0.0405,0.905,0.896,0.332,0.333,159.972,4,6.852840520191649
sunny,sunny,j'san,139130,45,lo-fi,0.811,0.429,0,-11.503,1,0.0789,0.468,0.607,0.109,0.646,138.027,4,6.937713894592744
Almost Home,Chillhop Daydreams,Sugi.wa,169187,46,lo-fi,0.586,0.0687,4,-19.177,1,0.0518,0.873,0.921,0.0801,0.353,85.091,4,6.652977412731006
French Inhale,444,[bsd.u],108078,54,lo-fi,0.87,0.146,8,-11.877,0,0.22,0.499,0.941,0.105,0.889,80.087,4,8.334017796030116
Interstellar,Interstellar,"drkmnd,Arbour",164800,46,lo-fi,0.503,0.157,11,-15.226,1,0.127,0.527,0.808,0.11,0.13,76.85,4,6.217659137577002
I Don't Love You Anymore,I Don't Love You Anymore,Sarcastic Sounds,77600,37,lo-fi,0.708,0.309,6,-19.536,1,0.144,0.428,0.87,0.0843,0.451,74.99,4,6.453114305270363
"Sorry, I Like You","Sorry, I Like You",Burbank,122790,52,lo-fi,0.833,0.642,9,-6.338,1,0.0611,0.266,5.06e-06,0.251,0.584,86.017,4,7.652292950034223
Fade,Fade,Knowmadic,157000,40,lo-fi,0.693,0.325,11,-12.764,0,0.235,0.943,0.235,0.0941,0.511,73.985,4,7.9808350444900755
Sunshine,Sunshine,Seneca B,210496,35,lo-fi,0.699,0.158,7,-15.225,1,0.036,0.445,0.859,0.132,0.0616,146.022,4,6.926762491444216
Blue and Green,Colors,"Harris Cole,Aso",174000,39,lo-fi,0.637,0.0389,1,-17.75,1,0.115,0.897,0.849,0.0731,0.479,79.908,4,6.847364818617385
for you,jhfly,jhfly,188611,34,lo-fi,0.886,0.494,10,-8.844,0,0.0899,0.736,0.0576,0.28,0.495,125.97,4,9.708418891170432
this again..,this again..,"SwuM,quickly, quickly",135384,27,lo-fi,0.517,0.621,8,-11.971,0,0.0857,0.656,0.789,0.228,0.196,78.181,4,6.581793292265571
Dulce,Cenário,FloFilz,131558,48,lo-fi,0.84,0.425,9,-9.404,0,0.0872,0.262,0.921,0.116,0.538,92.97,4,8.583162217659138
I Don't Sleep,I Don't Sleep,Sarcastic Sounds,105142,48,lo-fi,0.774,0.352,6,-13.13,0,0.214,0.105,0.741,0.348,0.258,80.51,4,7.2032854209445585
my new love,Gentle Boy,Elijah Who,65790,51,lo-fi,0.614,0.277,1,-11.943,0,0.042,0.967,0.891,0.0698,0.236,84.938,4,7.509924709103354
スモーク,スモーク,SwuM,151578,45,lo-fi,0.493,0.441,5,-8.547,0,0.0572,0.826,0.681,0.122,0.227,76.001,4,7.170431211498974
It's OK to Cry,It's OK to Cry,Sarcastic Sounds,102055,39,lo-fi,0.772,0.502,10,-13.254,0,0.0291,0.371,0.922,0.0917,0.145,152.031,4,6.579055441478439
Smile,Smile,"Nohidea,Ben Beal,sophie meiers",144040,49,lo-fi,0.531,0.487,2,-10.321,0,0.22,0.911,0.00201,0.222,0.749,75.487,4,8.391512663
"i'm in love with u, sorry","i'm in love with u, sorry",j'san,90315,52,lo-fi,0.578,0.288,5,-17.204,1,0.0589,0.97,0.633,0.125,0.276,94.983,4,7.501711156741957
Swingtheory,Over Skies,"quickly, quickly",228571,35,lo-fi,0.484,0.576,1,-8.431,0,0.664,0.584,0.0286,0.306,0.307,78.38,1,6.666666666666667
summer nights.,summer nights.,"halberd,Nion",84315,46,lo-fi,0.782,0.127,7,-20.939,1,0.668,0.939,0.781,0.125,0.39,83.989,4,7.723477070499658
Yesterday,Chillhop Daydreams,chief.,154124,40,lo-fi,0.647,0.185,9,-14.68,0,0.0584,0.945,0.868,0.127,0.143,77.077,4,6.652977412731006
Call me,Collection,90sFlav,126250,60,lo-fi,0.733,0.265,8,-12.074,0,0.25,0.952,0.917,0.0866,0.142,153.968,4,7.145790554414784
Pero Asi,Pero Asi,Made in M,114458,32,lo-fi,0.811,0.225,5,-12.284,0,0.334,0.692,0.603,0.078,0.673,83.99,4,7.674195756
I Fell in Love with You One Night in September,Dreams for Two,Rook1e,96004,48,lo-fi,0.532,0.137,3,-19.672,1,0.0648,0.943,0.824,0.0852,0.0732,89.346,3,7.570157426
We've Never Met but Can We Have a Cup of Coffee or Something,Let's Go,In Love With a Ghost,199603,50,lo-fi,0.349,0.214,6,-18.295,0,0.0538,0.926,0.121,0.321,0.236,201.128,4,7.444216290212183
No Way Back,No Way Back,Oatmello,101647,26,lo-fi,0.535,0.325,4,-11.783,0,0.0534,0.901,0.949,0.114,0.185,170.118,4,6.888432580424367
anything in the world,leaving us,loftii,116491,21,lo-fi,0.657,0.564,11,-4.523,1,0.221,0.724,0.257,0.372,0.444,140.035,4,6.910335386721424
soul,Playtime,L'Indécis,220689,50,lo-fi,0.529,0.339,4,-10.7,0,0.108,0.494,0.866,0.122,0.11,173.697,4,7.093771389459275
Raindrops,emo,"Kupla,j'san",145116,37,lo-fi,0.596,0.354,10,-9.689,1,0.141,0.622,0.917,0.141,0.162,85.949,4,6.554414784
Dreamscape,Bedtime Stories Pt. 2,"brillion.,Arbour,Kupla",174080,28,lo-fi,0.594,0.318,8,-17.552,0,0.113,0.929,0.923,0.112,0.19,75.172,4,4.908966461327857
Chinatown,O R B I T,SwuM,148333,20,lo-fi,0.676,0.488,2,-13.929,1,0.0633,0.441,0.352,0.0902,0.202,143.968,4,6.198494182067077
rap,rap,Mondo Loops,133333,25,lo-fi,0.561,0.0757,8,-24.813,0,0.045,0.927,0.913,0.104,0.108,144.067,4,4.865160848733744
Protected,Escapade,Swørn,79710,34,lo-fi,0.751,0.425,1,-7.133,1,0.0686,0.141,0.912,0.0999,0.379,82.223,4,6.064339493497604
I Dont Wanna Know Her,Passion & Confusion,"timmies,Shiloh Dynasty",122204,47,lo-fi,0.836,0.287,9,-14.701,0,0.342,0.599,0.00439,0.352,0.358,109.934,3,7.531827515400411
after u,handwarmers,jhfly,100120,26,lo-fi,0.541,0.15,2,-14.59,0,0.295,0.189,0.87,0.108,0.43,132.344,5,7.030800821355236
Morning Dew,Chillhop Essentials Spring 2019,fantompower,151500,35,lo-fi,0.462,0.287,10,-19.148,1,0.086,0.939,0.905,0.0801,0.121,127.978,4,6.039698836413415
sunday morning bacon,finding solitude,"Delayde,Fenick",103421,29,lo-fi,0.745,0.219,7,-15,0,0.181,0.864,0.914,0.106,0.211,76.127,4,6.368240930869268
Edamame,Jiro Dreams,"Dontcry,Glimlip",89423,34,lo-fi,0.683,0.464,0,-8.517,0,0.0834,0.42,0.925,0.146,0.319,155.966,4,5.106091718001369
Mirror Image,Tomorrows That Follow,"ENRA,Sleepermane",126843,28,lo-fi,0.688,0.159,8,-11.277,1,0.0629,0.586,0.825,0.108,0.147,80.009,1,4.952772073921971
Cosmos,Odyssey,"Dontcry,Nokiaa",113594,31,lo-fi,0.705,0.251,11,-11.029,0,0.0901,0.237,0.793,0.141,0.206,88.009,4,4.898015058179329
before rain,bed / moon,Sleepy Fish,93134,20,lo-fi,0.638,0.057,5,-9.33,1,0.0411,0.65,0.873,0.0702,0.439,67.055,4,6.225872689938399
Dreams,Dreams,Bluedoom,74257,18,lo-fi,0.706,0.266,1,-18.595,1,0.0438,0.843,0.947,0.177,0.537,160.048,4,6.444900752908967
Meet You in the Park,Calm Lands,Monma,151428,34,lo-fi,0.809,0.221,8,-14.615,0,0.203,0.601,0.879,0.158,0.683,168.002,4,4.963723477070499
Bittersweet,Flickshots & Quickscopes,baaskaT,86000,40,lo-fi,0.742,0.346,6,-16.167,0,0.167,0.245,0.827,0.11,0.937,82.969,4,8.402464065708418
