Track Name,Album Name,Artist Name(s),Duration (ms),Popularity,Genres,dance,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Song Age
Love Dramatic,Love Dramatic,Miura Jam,302560,19,anime,0.566,0.903,9,-1.471,1,0.0579,0.142,0,0.112,0.724,128.965,4,5.790554414784395
Giri Giri (Kaguya-sama: Love is War),Giri Giri (Kaguya-sama: Love is War),Miura Jam,87558,29,anime,0.737,0.819,8,-3.543,0,0.053,0.0517,0,0.0962,0.967,129.001,4,2.9979466119096507
渋谷で5時,野宮真貴 渋谷系ソングブック,"Maki Nomiya,Clémentine,Masayuki Suzuki",261986,29,anime,0.712,0.81,5,-5.309,1,0.0313,0.0548,0.000423,0.116,0.934,123.912,4,6.422997946611909
Sign,MICROCOSM,FLOW,236426,65,anime,0.363,0.914,11,-2.899,0,0.0983,0.00183,0,0.335,0.678,177.968,4,14.798083504449007
EVERBLUE,EVERBLUE,Omoinotake,241866,46,anime,0.597,0.895,8,-4.225,0,0.173,0.0463,0,0.299,0.498,134.985,4,3.5044490075290895
色彩,awake＆build,yama,192920,60,anime,0.581,0.921,7,-3.373,0,0.0736,0.153,0,0.254,0.856,117.045,4,1.1909650924024642
LOST IN PARADISE,LOST IN PARADISE,"ALI,AKLO",327966,65,anime,0.648,0.904,6,-4.565,0,0.0786,0.0961,2.07e-06,0.0629,0.728,121.994,4,4.479123887748118
History Maker,History Maker,DEAN FUJIOKA,190044,54,anime,0.397,0.668,9,-4.292,1,0.0855,0.102,0,0.0744,0.456,67.012,4,8.487337440109513
crossing field,LANDSPACE,LiSA,248946,68,anime,0.45,0.983,5,-2.246,1,0.282,0.0186,0,0.265,0.314,179.041,4,11.425051334702259
Lovers,アンサーパレード,sumika,250800,61,anime,0.606,0.919,11,-2.024,1,0.0318,0.0657,0,0.297,0.766,114.474,4,8.856947296372347
キミの隣,Assortrip,halca,279133,39,anime,0.596,0.854,5,-3.011,1,0.0365,0.0135,1.44e-06,0.337,0.58,134.971,4,7.252566735112937
Sparkle - movie ver.,Your Name.,RADWIMPS,537653,66,anime,0.372,0.426,11,-8.421,1,0.0339,0.687,0.00784,0.109,0.287,123.993,4,8.607802874743326
