Track Name,Album Name,Artist Name(s),Added At,Genres,Duration (ms),Popularity,Danceability,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Song Age,Play Count
Never Enough,Never Enough,Kelly Clarkson,2025-03-21T00:00:28Z,christmas,204133,52,0.398,8,-7.148,0.0486,0.139,0,0.115,0.0956,133.659,4,6.379192334017796,8
thinking of you,Inaudible,"mommy,Philanthrope,Kyle McEvoy",2025-03-21T00:00:28Z,"lo-fi beats,lo-fi,jazz beats",131000,52,0.798,11,-12.673,0.209,0.487,0.8,0.239,0.506,160.038,4,6.346338124572211,11
controlla,rainy evening,Idealism,2025-03-21T00:00:28Z,"lo-fi,lo-fi beats",108000,57,0.788,6,-9.812,0.0693,0.54,0.694,0.273,0.545,80.033,4,7.572895277207392,5
Monday Loop,Harbor,Tomppabeats,2025-03-21T00:00:28Z,"lo-fi,lo-fi beats,vaporwave",91504,53,0.742,10,-8.533,0.043,0.872,0.00305,0.132,0.354,69.006,3,8.889801505817934,8
Fireworks,Hometown,"Nymano,Pandrezz",2025-03-21T00:00:28Z,"lo-fi beats,lo-fi,jazz beats",138000,44,0.558,5,-10.53,0.373,0.526,0.934,0.147,0.395,188.179,4,6.442162902121835,4
Snowman,1 Am. Study Session,WYS,2025-03-21T00:00:28Z,"lo-fi,lo-fi beats",195136,59,0.713,9,-16.141,0.0461,0.802,0.893,0.0653,0.0447,109.992,4,5.300479123887748,13
Lonely,Lonely,Idealism,2025-03-21T00:00:28Z,"lo-fi,lo-fi beats",122500,41,0.286,8,-12.319,0.0466,0.541,0.935,0.0904,0.112,158.895,4,8.117727584,23
Old Roots New Trees,Nest,"Made in M,Smuv",2025-03-21T00:00:28Z,"lo-fi beats,lo-fi",92250,49,0.857,4,-10.946,0.328,0.836,0.955,0.109,0.778,82.9,4,8.391512663,7
this girl,Gentle Boy,Elijah Who,2025-03-21T00:00:28Z,"lo-fi,lo-fi beats",122704,54,0.79,8,-9.365,0.0864,0.872,0.797,0.111,0.418,69.997,4,7.490759753593429,7
i'm closing my eyes,i'm closing my eyes,potsu,2025-03-21T00:00:28Z,lo-fi,118302,60,0.877,0,-13.87,0.0996,0.501,0.677,0.0872,0.522,134.057,4,7.860369609856263,8
