Track Name,Album Name,Artist Name(s),Genres,Duration (ms),Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Song Age
Under Cherry Blossom Trees,Under Cherry Blossom Trees,neeks,lo-fi,85333,38,0.734,0.5,0,-10.111,1,0.224,0.343,0.655,0.0537,0.29,90.276,4,6.606433949
dreamin’,Haru Kaze,ビクター ＭＫＩＩ,lo-fi,100666,19,0.551,0.67,2,-10.275,1,0.886,0.921,0.28,0.325,0.763,161.26,4,3.044490075
Her.,Her.,"Xavier,Kendall Miles","pinoy indie,lo-fi,lo-fi beats",141576,27,0.45,0.299,0,-14.871,1,0.0871,0.645,3.49E-05,0.953,0.526,86.122,3,7.879534565
World Without You,Sincerely Adolescence,"Blai$y,Shiloh Dynasty",lo-fi,106753,40,0.571,0.346,7,-14.811,1,0.489,0.617,0.0284,0.104,0.114,64.917,4,7.474332649
Being in Love with U,Harbor,Tomppabeats,"lo-fi,lo-fi beats,vaporwave",49548,43,0.628,0.334,2,-9.781,1,0.424,0.848,0.143,0.106,0.617,81.966,3,8.908966461
Far Away,Harbor,Tomppabeats,"lo-fi,lo-fi beats,vaporwave",52602,48,0.675,0.495,10,-11.151,0,0.0957,0.444,0.964,0.162,0.719,73.117,4,8.908966461
i miss you,i miss you,Mt. Marcy,"lo-fi,lo-fi beats",85975,33,0.67,0.663,9,-10.344,1,0.0657,0.873,0.527,0.348,0.305,82.032,4,8.353182752
my heart flutters when i see you,Summer Festival,biosphere,"lo-fi,lo-fi beats,j-dance",130370,42,0.73,0.403,9,-15.814,0,0.0724,0.893,0.884,0.108,0.531,162.124,4,7.594798084
her smile,Lighter,[bsd.u],"lo-fi,lo-fi beats",52040,32,0.809,0.179,2,-11.134,1,0.0697,0.0545,0.818,0.101,0.527,74.99,4,7.493497604
Falling for U,Falling for U,"Peachy!,mxmtoon","bedroom pop,indie pop",124000,68,0.719,0.36,6,-12.034,1,0.398,0.748,2.18E-06,0.0812,0.409,80.184,4,7.635865845
Just a sec,Her,eery,"lo-fi,j-dance",114755,33,0.705,0.361,11,-10.075,0,0.0526,0.428,0.564,0.123,0.83,94.02,4,9.253935661
Swishers,Runway,"SwuM,[bsd.u]","lo-fi,lo-fi beats,j-dance",116756,37,0.502,0.596,4,-12.361,0,0.567,0.867,0.00254,0.278,0.559,148.241,4,9.089664613
Sleep Next to Me,"Growing Up, Vol. 1",A L E X,"lo-fi,lo-fi beats",139911,37,0.613,0.381,0,-16.901,1,0.0729,0.625,0.925,0.124,0.401,172,3,7.770020534
i'm tired of feeling this way,i'm tired of feeling this way / lychee juice,Elijah Who,"lo-fi,lo-fi beats",148034,46,0.776,0.117,0,-16.003,1,0.0749,0.992,0.819,0.114,0.192,137.67,4,7.471594798
Lo Que Siento,Lo Que Siento,Cuco,bedroom pop,312000,71,0.327,0.684,10,-5.576,1,0.177,0.506,0,0.427,0.425,86.89,5,7.857631759
sunshine,sunshine,"atlas,Rook1e,Sky.High","lo-fi,lo-fi beats,j-dance",90019,33,0.729,0.727,1,-9.917,1,0.16,0.926,0.0115,0.129,0.713,95.976,4,7.159479808
fell in love in a dream,fell in love in a dream,Kupla,"lo-fi,lo-fi beats",143666,35,0.505,0.23,9,-9.971,0,0.227,0.66,0.85,0.0986,0.218,91.997,4,7.726214921
Home,Home,Cavetown,bedroom pop,269897,65,0.532,0.474,1,-5.223,1,0.0372,0.387,8.51E-05,0.11,0.281,124.86,4,5.823408624
north terminal,winter night,crytothemoon,bedroom pop,176000,2,0.328,0.148,0,-39.46,1,0.127,0.89,0.0927,0.0887,0.204,89.948,4,5.908281999
Imagine,Sad Hours,"SHRK,Shiloh Dynasty",lo-fi,144740,45,0.85,0.454,7,-12.871,1,0.0615,0.637,0.224,0.153,0.14,129.953,4,6.929500342
Not Even Her (feat. Shiloh),Not Even Her (feat. Shiloh),"Floreyyyy,Shiloh","lo-fi beats,lo-fi",174707,42,0.607,0.0741,11,-14.09,1,0.336,0.76,0.0017,0.139,0.589,210.986,4,7.441478439
What Now?,Imagination.,Tundra Beats,"lo-fi beats,lo-fi",111317,16,0.903,0.152,10,-15.979,1,0.165,0.671,0.311,0.106,0.465,137.884,4,5.158110883
death bed (coffee for your head),death bed (coffee for your head),"Powfu,beabadoobee",bedroom pop,173333,80,0.726,0.431,8,-8.765,0,0.135,0.731,0,0.696,0.348,144.026,4,5.149897331
summer depression,summer depression,girl in red,bedroom pop,151693,63,0.693,0.308,9,-15.635,1,0.0442,0.645,0.476,0.127,0.677,129.943,4,7.085557837
Macintosh Plus 2K18,Macintosh Plus 2K18,Yung Frown,vaporwave,423859,42,0.56,0.816,8,-4.308,1,0.0789,0.117,0.000163,0.138,0.664,91.493,4,7.156741958
Dream Girl,Dream Girl,Crisaunt,bedroom pop,179286,68,0.945,0.239,4,-17.862,1,0.0389,0.372,0.29,0.118,0.583,118.616,4,6.132785763
Emotionless,Emotionless,Crisaunt,bedroom pop,148401,39,0.701,0.508,6,-9.391,0,0.0455,0.483,0.00526,0.129,0.539,83.974,4,4.750171116
Smoke Signals (feat. Tessa Violet),Smoke Signals (feat. Tessa Violet),"Cavetown,Tessa Violet",bedroom pop,208966,49,0.573,0.16,8,-16.587,0,0.037,0.933,0.000111,0.109,0.246,104.708,4,4.73100616
Moonlight Shawty,Moonlight Shawty,"Fatboibari,Shiloh",lo-fi,167994,57,0.671,0.184,5,-15.541,1,0.123,0.835,0.0011,0.0794,0.128,106.04,4,6.57357974
Why Not Me,Nostalgia Pack,"Forrest Frank,Forrest.","christian hip hop,christian pop,pop worship,christian,worship,gospel r&b",206194,49,0.905,0.732,7,-7.384,1,0.298,0.463,0,0.526,0.689,145.961,4,1.856262834
seeing your name makes me happy,bedroom,Burbank,lo-fi,107697,48,0.724,0.279,9,-8.678,1,0.2,0.282,0.00474,0.0924,0.476,162.136,4,7.362080767
Kids of Summer - Radio Edit,Kids of Summer (Radio Edit),"Monotronic,Omar Hakim",jazz fusion,268640,25,0.603,0.976,0,-5.342,1,0.0664,0.00212,0.0111,0.1,0.507,125.024,4,0.629705681
Bodies,Staring Through,kudo,lo-fi,153000,52,0.592,0.274,7,-22.826,0,0.0357,0.977,0.908,0.0952,0.16,113.967,4,4.6954141
Mujinas Ramen Shop,Yokai,"Flitz&Suppe,Mr. Käfer","lo-fi beats,lo-fi,jazz beats,jazz rap",161194,48,0.68,0.319,5,-15.213,1,0.0483,0.834,0.907,0.122,0.737,133.955,4,4.739219713
Felt the Same,Sometimes I Wait for You,softy,"lo-fi,lo-fi beats",151866,49,0.578,0.425,1,-10.972,1,0.0422,0.924,0.703,0.0966,0.128,76.007,4,4.772073922
Late Night Latte,Sweet Dreams,Purrple Cat,"lo-fi,lo-fi beats",193239,34,0.6,0.229,2,-14.376,1,0.0344,0.815,0.771,0.0959,0.0984,119.945,4,4.985626283
Cleared Sky,Introspective,Nothingtosay,"lo-fi,lo-fi beats",156007,30,0.616,0.191,8,-17.242,1,0.0464,0.317,0.829,0.103,0.0546,80.006,3,4.717316906
Lush,Wondering,Casiio,"lo-fi,lo-fi beats",121531,30,0.502,0.248,4,-17.02,0,0.123,0.718,0.942,0.0962,0.0818,158.069,5,4.876112252
Off,Staring Through,kudo,lo-fi,142704,37,0.547,0.171,3,-22.146,0,0.046,0.904,0.946,0.118,0.181,80.131,4,4.6954141
Rain on Sunday,Naoko,Tom Doolie,"lo-fi,lo-fi beats",109296,31,0.883,0.57,2,-9.665,1,0.0643,0.135,0.823,0.0818,0.666,125.922,4,4.783025325
Remorse,Lazy Sunday,Thaehan,"lo-fi,lo-fi beats",115304,39,0.689,0.325,5,-11.205,0,0.0369,0.936,0.904,0.113,0.243,75.065,3,4.706365503
Evening Jam,Way of Life,Yasumu,"lo-fi,lo-fi beats",118378,24,0.667,0.203,8,-13.141,0,0.388,0.594,0.699,0.0677,0.155,143.455,4,4.821355236
Slow,Staring Through,kudo,lo-fi,121741,40,0.41,0.138,3,-23.896,0,0.0329,0.957,0.924,0.119,0.135,79.272,4,4.6954141
Drive to Midnight,Terrapin,Mondo Loops,"lo-fi,lo-fi beats",181000,32,0.425,0.32,11,-20.32,0,0.045,0.79,0.91,0.111,0.0473,84.802,4,4.865160849
Snug,Sometimes I Wait for You,softy,"lo-fi,lo-fi beats",217253,39,0.492,0.355,1,-8.732,1,0.0652,0.964,0.67,0.38,0.367,82.253,4,4.772073922
Waking up Slowly,2 Am. Study Session,"No Spirit,SAINT WKND","lo-fi,lo-fi beats,tropical house",145946,44,0.674,0.3,4,-15.218,1,0.0406,0.934,0.937,0.107,0.143,147.879,4,5.00752909
Deep Down,Relief,Pandrezz,"lo-fi,lo-fi beats",130909,34,0.703,0.201,5,-13.262,1,0.0553,0.386,0.53,0.133,0.276,66.096,4,4.941820671
Dittany,Conscious Ego,"Fatb,Flitz&Suppe","lo-fi,lo-fi beats,jazz beats,jazz rap",134634,27,0.697,0.274,2,-11.411,0,0.0836,0.566,0.843,0.0794,0.352,81.997,4,4.843258042
Tranquility,Dove,"Oatmello,fantompower","lo-fi,lo-fi beats,j-dance",120833,23,0.571,0.489,9,-11.338,0,0.0448,0.81,0.633,0.13,0.151,72.019,4,4.750171116
Serenity,Kingdom in Blue,Kupla,"lo-fi,lo-fi beats",192000,41,0.57,0.345,5,-10.705,0,0.0467,0.892,0.841,0.142,0.236,80.021,4,5.092402464
Nova,1 Am. Study Session,mell-ø,"lo-fi,lo-fi beats",104415,43,0.779,0.272,6,-13.763,0,0.104,0.804,0.802,0.11,0.506,77.048,4,5.319644079
Breathing in October,Sometimes I Wait for You,softy,"lo-fi,lo-fi beats",179864,29,0.553,0.406,11,-9.573,1,0.0525,0.857,0.61,0.321,0.137,44.871,4,4.772073922
Sundae Sunset,Sweet Dreams,Purrple Cat,"lo-fi,lo-fi beats",138701,34,0.69,0.249,2,-15.245,1,0.0438,0.783,0.586,0.128,0.167,129.954,3,4.985626283
Snowflakes,Lazy Sunday,"E I S U,softy","lo-fi,lo-fi beats",126966,28,0.51,0.176,0,-11.442,1,0.0415,0.865,0.618,0.385,0.403,142.693,4,4.706365503
Channel 12,Ages Ago,"Flovry,tender spring","lo-fi,lo-fi beats",142968,38,0.669,0.26,4,-14.37,1,0.0481,0.931,0.845,0.126,0.474,136.008,4,5.352498289
Ebi Tempura,Jiro Dreams,"Dontcry,Glimlip","lo-fi,lo-fi beats,jazz beats",114134,30,0.831,0.341,6,-9.615,0,0.12,0.929,0.926,0.337,0.327,78.016,1,5.106091718
Reminiscing,Before You Go,"Jhove,Flovry","lo-fi,lo-fi beats",158297,43,0.511,0.128,6,-16.396,0,0.0698,0.779,0.926,0.0954,0.322,75.955,4,4.930869268
Darjeeling,Naoko,Tom Doolie,"lo-fi,lo-fi beats",107693,32,0.64,0.255,6,-10.96,1,0.0383,0.819,0.897,0.109,0.367,117.449,3,4.783025325
Roots,Kingdom in Blue,Kupla,"lo-fi,lo-fi beats",138947,49,0.812,0.404,9,-8.448,0,0.231,0.35,0.45,0.106,0.382,75.89,4,5.092402464
Far Away,Introspective,"Nothingtosay,Zeyn","lo-fi,lo-fi beats",168578,27,0.682,0.107,2,-18.042,1,0.0608,0.806,0.935,0.0925,0.0685,83.982,4,4.717316906
In Your Eyes,Kingdom in Blue,Kupla,"lo-fi,lo-fi beats",178570,35,0.643,0.445,2,-10.514,0,0.0377,0.751,0.873,0.13,0.209,81.971,4,5.092402464
New Fields,Naoko,"Tom Doolie,Saib","lo-fi,lo-fi beats,jazz house,jazz beats",132426,52,0.5,0.486,9,-8.801,1,0.168,0.559,0.353,0.119,0.36,175.786,4,4.783025325
Bloom,Conscious Ego,"Fatb,Tesk","lo-fi,lo-fi beats,jazz beats,jazz rap",133409,34,0.605,0.171,5,-12.82,1,0.053,0.763,0.949,0.132,0.349,179.923,4,4.843258042
Maki,Jiro Dreams,"Dontcry,Glimlip","lo-fi,lo-fi beats,jazz beats",80714,45,0.668,0.403,9,-10.131,1,0.214,0.322,0.938,0.106,0.231,140.613,1,5.106091718
I Am Not Lost,Introspective,Nothingtosay,"lo-fi,lo-fi beats",173867,34,0.609,0.0597,1,-20.374,1,0.0476,0.819,0.93,0.104,0.186,80.002,4,4.717316906
Root,In Your Eyes,Tom Doolie,"lo-fi,lo-fi beats",93139,51,0.721,0.224,7,-16.262,0,0.0543,0.949,0.944,0.106,0.349,135.755,4,0.180698152
Gin,Diamonds,"Oatmello,Cloudchord","lo-fi,lo-fi beats,jazz beats",130370,35,0.633,0.333,7,-13.933,1,0.0646,0.626,0.346,0.116,0.574,81.015,4,6.321697467
Untold Stories,Lazy Sunday,Yasumu,"lo-fi,lo-fi beats",119304,36,0.633,0.199,9,-17.725,0,0.0313,0.905,0.771,0.0758,0.225,79.931,4,4.706365503
Carousel,Forever Ago,Hoogway,"lo-fi,lo-fi beats",141538,34,0.674,0.115,7,-19.09,1,0.0341,0.925,0.948,0.121,0.235,78.01,4,4.761122519
Pink Night Sky,Lazy Sunday,Dr. Dundiff,"jazz beats,lo-fi",160101,36,0.703,0.241,1,-12.313,1,0.394,0.361,0.878,0.222,0.641,78.793,4,4.706365503
hope,Elements,"Bcalm,Purrple Cat","lo-fi,lo-fi beats",164000,52,0.573,0.249,5,-11.168,0,0.0308,0.918,0.94,0.131,0.076,127.998,4,3.570157426
Affection,Wondering,Casiio,"lo-fi,lo-fi beats",133732,40,0.536,0.117,8,-24.096,1,0.0534,0.792,0.916,0.114,0.0391,79.049,4,4.876112252
Sail Away,Forever Ago,Hoogway,"lo-fi,lo-fi beats",117432,27,0.568,0.0862,9,-21.158,0,0.0289,0.756,0.89,0.0895,0.148,136.047,4,4.761122519
Stray,Sometimes I Wait for You,softy,"lo-fi,lo-fi beats",154230,24,0.693,0.488,0,-7.928,0,0.0327,0.891,0.865,0.115,0.164,78.019,4,4.772073922
Over the Valley,Lazy Sunday,"Jhove,trxxshed","lo-fi,lo-fi beats",146198,41,0.612,0.175,5,-18.024,1,0.0337,0.933,0.878,0.0979,0.119,110.014,4,4.706365503
Back When,Before You Go,"Jhove,tender spring","lo-fi,lo-fi beats",140000,26,0.74,0.319,2,-13.283,1,0.0707,0.615,0.846,0.134,0.8,143.977,4,4.930869268
Garnet,Lazy Sunday,"Monma,cocabona","lo-fi beats,lo-fi",149610,39,0.662,0.429,11,-9.376,1,0.0783,0.881,0.872,0.07,0.685,76.995,4,4.706365503
